№;Наименование;Регистрационный номер;Наименование на английском;Краткое наименование;Дата регистрации;Возраст компании, лет;Код налогоплательщика;Вид деятельности/отрасль;Организационно-правовая форма;Форма собственности;Размер компании;2017, Среднесписочная численность работников;2018, Среднесписочная численность работников;2019, Среднесписочная численность работников;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;Мои списки;2017, Выручка, RUB;2018, Выручка, RUB;2019, Выручка, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2017, Прибыль (убыток) до налогообложения , RUB;2018, Прибыль (убыток) до налогообложения , RUB;2019, Прибыль (убыток) до налогообложения , RUB;2020, Прибыль (убыток) до налогообложения , RUB;2021, Прибыль (убыток) до налогообложения , RUB
164;ГЕТ ЭКСПЕРТС РЕКРУТМЕНТ, ООО;1097746044945;GET EXPERTS RECRUITMENT, LLC;ООО «ГЕТ ЭКСПЕРТС РЕКРУТМЕНТ»;04.02.2009;14,0;7704720488;Деятельность агентств по подбору персонала;Общества с ограниченной ответственностью;Частная собственность;Средние предприятия;172;206;221;223;217;"""left""";564 547 000;703 124 000;761 387 000;702 767 000;909 661 000;-3 253 000;75 825 000;49 584 000;16 651 000;76 952 000
165;ГЕТТ СИСТЕМС РУ, ООО;1187746153385;GETT SISTEMS RU, OOO;"ООО ""ГЕТТ СИСТЕМС РУ""";13.02.2018;5,0;7725424391;Разработка компьютерного программного обеспечения;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;;11;63;76;111;"""left""";;61 546 000;340 612 000;402 806 000;565 490 000;;4 845 000;33 626 000;42 226 000;46 110 000
166;ГИАНТ-КЕРАМИКА, ООО;1053900112727;GIANT-KERAMIKA, OOO;"ООО ""ГИАНТ-КЕРАМИКА""";06.09.2005;17,5;3905067984;Торговля розничная скобяными изделиями, лакокрасочными материалами и стеклом в специализированных магазинах;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;13;14;31;30;19;"""left""";68 661 000;74 329 000;123 684 000;124 230 000;67 400 000;5 402 000;7 483 000;12 967 000;7 193 000;5 167 000
167;ГЛАКСОСМИТКЛЯЙН ХЕЛСКЕР, АО;1027739007559;GLAKSOSMITKLYAIN KHELSKER, AO;"АО ""ГЛАКСОСМИТКЛЯЙН ХЕЛСКЕР""";01.07.1993;29,5;7703105112;Торговля оптовая фармацевтической продукцией;Непубличные акционерные общества;Собственность иностранных юридических лиц;Крупные предприятия;464;251 - 500;;;;"""left""";17 906 794 000;19 932 806 000;20 287 012 000;21 343 345 000;24 106 969 000;409 776 000;68 737 000;661 700 000;1 003 573 000;1 066 672 000
168;ГЛОБАЛ ФМ, ООО РА;1106829004578;GLOBAL FM, OOO RA;"ООО РА ""ГЛОБАЛ ФМ""";21.07.2010;12,5;6829067343;Деятельность рекламных агентств;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;12;10;8;;6;"""left""";5 352 000;8 298 000;8 668 000;3 597 000;3 286 000;5 030 000;3 823 000;2 876 000;129 000;244 000
169;ГЛОБУС, ООО;1117746394215;GLOBUS, OOO;"ООО ""ГЛОБУС""";20.05.2011;11,5;7720718408;Торговля розничная пищевыми продуктами, напитками и табачными изделиями в специализированных магазинах;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;6;9;17;16;12;"""left""";96 173 000;;51 546 000;45 765 000;38 055 000;4 615 000;;2 713 000;1 132 000;1 533 000
170;ГОЛДЕН ГУЗ РУС, ООО;1217700013805;GOLDEN GOOSE RUS, LLC;ООО «ГОЛДЕН ГУЗ РУС»;20.01.2021;2,0;7716952846;Торговля розничная одеждой в специализированных магазинах;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;;;;;;1;"""left""";;;;;;;;;;-76 000
171;ГОЛДМАН САКС БАНК, ООО;1087711000112;GOLDMAN SAKS BANK, OOO;"ООО ""ГОЛДМАН САКС БАНК""";30.10.2008;14,0;7750005387;Денежное посредничество прочее;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;;;;;;;"""left""";;;;;;;;;;
172;ГОЛЬЦБЛАТ БЛП, ООО;1107746189649;GOLTSBLAT BLP, OOO;"ООО ""ГОЛЬЦБЛАТ БЛП""";12.03.2010;13,0;7703717210;Деятельность в области права;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;;1;1;1;;;"""left""";;;;;;-148 000;-232 000;-233 000;-97 000;-95 000
173;ГРАН ГРУП, ООО;1037835014469;GRAN GROUP, LTD;"ООО ""ГРАН ГРУП""";29.01.2001;22,0;7816197682;Торговля оптовая неспециализированная;Общества с ограниченной ответственностью;Частная собственность;Средние предприятия;37;39;43;44;46;"""left""";847 428 000;1 043 586 000;1 097 925 000;1 199 130 000;;97 400 000;-127 202 000;154 611 000;146 444 000;
174;ГРАНТ ТОРНТОН, ООО;1217700301829;GRANT THORNTON, LLC;ООО «ГРАНТ ТОРНТОН»;24.06.2021;1,5;9701180164;Деятельность профессиональная, научная и техническая прочая, не включенная в другие группировки;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;;;;2;"""left""";;;;;19 390 000;;;;;976 000
175;ГРИВЕЛ, ООО;1160280058575;GRIVEL, OOO;"ООО ""ГРИВЕЛ""";08.02.2016;7,0;0262023051;Торговля оптовая неспециализированная пищевыми продуктами, напитками и табачными изделиями;Общества с ограниченной ответственностью;Частная собственность;;;;2;;1;"""left""";;;;;;;;;;
176;ГРИД ДИНАМИКС, ООО;1127847410954;GRID DINAMIKS, OOO;"ООО ""ГРИД ДИНАМИКС""";02.08.2012;10,5;7813540887;Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Средние предприятия;399;428;470;400;600;"""left""";1 208 026 000;1 433 998 000;1 603 909 000;1 400 231 000;2 047 117 000;27 644 000;138 104 000;116 365 000;179 676 000;180 344 000
177;ГРОЭ, ООО;1047796008358;GROE, OOO;"ООО ""ГРОЭ""";08.01.2004;19,0;7724502632;Торговля оптовая санитарно-техническим оборудованием;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;50;52;56;52;60;"""left""";3 944 014 000;5 035 888 000;5 725 530 000;7 472 458 000;8 632 758 000;110 057 000;361 068 000;56 765 000;451 642 000;413 636 000
178;ГРУНДФОС, ООО;1027739580560;GRUNDFOS, OOO;"ООО ""ГРУНДФОС""";02.02.1998;25,0;5042054367;Деятельность агентов по оптовой торговле машинами, промышленным оборудованием, судами и летательными аппаратами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;251 - 500;251 - 500;;;;"""left""";10 197 718 000;11 614 866 000;11 302 713 000;12 638 868 000;13 676 147 000;613 355 000;576 280 000;490 842 000;770 707 000;1 457 990 000
179;ГРУПО АНТОЛИН НИЖНИЙ НОВГОРОД, ООО;1135263003116;GRUPO ANTOLIN NIZHNI NOVGOROD, OOO;"ООО ""ГРУПО АНТОЛИН НИЖНИЙ НОВГОРОД""";14.06.2013;9,5;5263099630;Производство комплектующих и принадлежностей для автотранспортных средств;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;38;59;54;51;65;"""Сервисы"", ""left""";241 438 000;383 220 000;363 342 000;425 008 000;528 330 000;-98 410 000;-80 146 000;-12 571 000;-72 255 000;2 449 000
180;ГРУППА ГРЕЙФ, ООО;1037725053387;GRUPPA GREIF, OOO;"ООО ""ГРУППА ГРЕЙФ""";13.10.2003;19,5;7725240919;Деятельность столовых и буфетов при предприятиях и учреждениях;Общества с ограниченной ответственностью;Частная собственность;;4;4;4;;;"""left""";6 091 000;6 916 000;7 363 000;;;229 000;246 000;304 000;;
181;ГРУППА КОМПАНИЙ СИГМА-ГАЗ, ЗАО;1079847077298;GRUPPA KOMPANI SIGMA-GAZ, ZAO;"ЗАО ""ГРУППА КОМПАНИЙ ""СИГМА-ГАЗ""";08.11.2007;15,0;7838394684;Деятельность по управлению финансово-промышленными группами;Непубличные акционерные общества;Частная собственность;;19;13;1;1;;"""left""";148 746 000;578 276 000;;;;6 378 000;26 536 000;;;
182;ГРЭЙНПРОМ МЕНЕДЖМЕНТ, ООО;1217700325688;GRAINPROM MANAGEMENT, LLC;"ООО ""ГРЭЙНПРОМ МЕНЕДЖМЕНТ""";12.07.2021;1,5;9703040194;Торговля оптовая зерном;Общества с ограниченной ответственностью;Частная собственность;Малые предприятия;;;;;;"""left""";;;;;168 963 000;;;;;7 457 000
183;ГУГЛ, ООО;1057749528100;GUGL, OOO;"ООО ""ГУГЛ""";14.12.2005;17,0;7704582421;Деятельность рекламных агентств;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;101 - 150;101 - 150;;;;"""left""";45 219 802 000;59 843 818 000;74 948 874 000;85 462 654 000;134 268 489 000;7 395 447 000;3 721 729 000;2 600 963 000;2 420 573 000;-24 814 994 000
184;ГУРМАН КФС, ООО;1122308003630;GURMAN KFS, OOO;"ООО ""ГУРМАН КФС""";25.04.2012;10,5;2308188221;Деятельность ресторанов и услуги по доставке продуктов питания;Общества с ограниченной ответственностью;Совместная частная и иностранная собственность;;63;1;;;;"""left""";83 614 000;;;;;52 334 000;;;;
185;Д ЭНД Б АУДИОТЕХНИКА, ООО;1207700152846;D END B AUDIOTEKHNIKA, OOO;"ООО ""Д ЭНД Б АУДИОТЕХНИКА""";14.04.2020;3,0;9718155409;Торговля оптовая электронным и телекоммуникационным оборудованием и его запасными частями;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Микропредприятия;;;;1;1;"""left""";;;;6 076 000;13 093 000;;;;1 403 000;2 472 000
186;Д-Р БЕЙКЕРС, ООО;1207700232300;D-R BEIKERS, OOO;"ООО ""Д-Р БЕЙКЕРС""";25.09.1995;27,5;7743342857;Торговля оптовая прочими пищевыми продуктами, включая рыбу, ракообразных и моллюсков;Общества с ограниченной ответственностью;Частная собственность;Крупные предприятия;101 - 150;101 - 150;119;133;144;"""left""";1 720 799 000;1 876 413 000;2 024 698 000;2 442 570 000;2 596 314 000;242 977 000;197 706 000;240 479 000;375 776 000;397 717 000
187;ДАЙЛЬМАНН ХАНИЭЛЬ ШАХТОСТРОЙ, ООО;1085911002429;DAILMANN KHANIEL SHAKHTOSTROI, OOO;"ООО ""ДАЙЛЬМАНН ХАНИЭЛЬ ШАХТОСТРОЙ""";29.09.2008;14,5;5911057360;Строительство прочих инженерных сооружений, не включенных в другие группировки;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Средние предприятия;240;179;187;78;47;"""left""";;31 717 000;;11 703 827 000;868 779 000;-51 190 000;148 703 000;-180 624 000;2 982 441 000;45 206 000
188;ДАКСЕР, ООО;1077764720110;DAKSER, OOO;"ООО ""ДАКСЕР""";27.12.2007;15,0;7714724770;Деятельность вспомогательная прочая, связанная с перевозками;Общества с ограниченной ответственностью;Совместная частная и иностранная собственность;Крупные предприятия;108;103;97;98;110;"""left""";1 648 088 000;1 992 956 000;1 744 847 000;1 789 071 000;2 244 198 000;26 159 000;6 942 000;191 000;5 149 000;22 074 000
189;ДАНОН РОССИЯ, АО;1057749126820;DANON ROSSIYA, AO;"АО ""ДАНОН РОССИЯ""";18.11.2005;17,0;7714626332;Производство молочной продукции;Непубличные акционерные общества;Собственность иностранных юридических лиц;Крупные предприятия;1 001 - 5 000;251 - 500;;;;"""Для ЛС"", ""left"", ""Сервисы"", ""для ЛС по сделкам""";54 314 236 000;59 198 505 000;86 662 911 000;87 967 742 000;85 107 039 000;711 614 000;7 364 205 000;7 731 227 000;10 048 194 000;10 632 280 000
190;ДАССО СИСТЕМ, ООО;1127746036373;DASSO SISTEM, OOO;"ООО ""ДАССО СИСТЕМ""";26.01.2012;11,0;7743842200;Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Средние предприятия;47;61;71;74;86;"""left""";871 149 000;1 406 556 000;1 176 868 000;1 228 291 000;1 321 624 000;-4 216 000;28 228 000;40 500 000;25 438 000;18 529 000
191;ДАТААРТ ЮРОП ЛТД, ИНОСТРАННАЯ ОРГАНИЗАЦИЯ;;DATAART YUROP LTD, INOSTRANNAYA ORGANIZATSIYA;"ИНОСТРАННАЯ ОРГАНИЗАЦИЯ ""ДАТААРТ ЮРОП ЛТД""";;;9909285342;Разработка компьютерного программного обеспечения;Прочие юридические лица, являющиеся коммерческими организациями;Собственность иностранных юридических лиц;;;;;;;"""left""";;;;;;;;;;
192;ДБ КАРГО РУССИЯ, ООО;1037739664599;DB KARGO RUSSIYA, OOO;"ООО ""ДБ КАРГО РУССИЯ""";06.01.1999;24,0;7707274337;Деятельность железнодорожного транспорта: грузовые перевозки;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;8;9;11;12;13;"""left""";66 183 000;60 220 000;94 700 000;142 703 000;175 425 000;29 380 000;34 767 000;30 987 000;101 546 000;97 356 000
193;ДДБ СЕРВИС, ООО;5077746339743;DDB SERVIS, OOO;"ООО ""ДДБ СЕРВИС""";20.03.2007;16,0;7702636470;Деятельность автомобильного грузового транспорта и услуги по перевозкам;Общества с ограниченной ответственностью;Частная собственность;Малые предприятия;109;110;137;121;96;"""left""";335 478 000;539 116 000;610 539 000;585 808 000;410 830 000;660 000;19 412 000;35 992 000;41 143 000;3 082 000
194;ДЕКЁНИНК РУС, ООО;1047796860385;DEKENINK RUS, OOO;"ООО ""ДЕКЁНИНК РУС""";11.11.2004;18,0;7714576900;Производство пластмассовых плит, полос, труб и профилей;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;197;195;208;192;184;"""Сервисы"", ""left""";1 813 304 000;1 849 687 000;1 888 225 000;2 201 444 000;2 515 409 000;-117 086 000;-229 155 000;-102 687 000;-6 460 000;-142 110 000
195;ДЕЛОНГИ, ООО;1051655024629;DELONGI, OOO;"ООО ""ДЕЛОНГИ""";22.07.2005;17,5;1646017441;Торговля оптовая бытовыми электротоварами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;56;55;55;53;58;"""left""";7 446 044 000;8 659 188 000;9 784 064 000;10 857 555 000;14 050 758 000;-109 672 000;-115 292 000;-4 577 000;748 170 000;223 695 000
